abaisses abEs
abandonne ab@dOn
abandonneras ab@dOnRa
abatage abataZ
abatte abat
abattrait abatRE
abdiquent abdik
abdiquera abdikRa
abêtit abeti
abhorrait abORE
abîmerai abimRE
abjurent abZyR
ablations ablasj1
abolisse abOlis
abominai abOminE
abondamment ab1dam@
aborda abORda
abordages abORdaZ
abordèrent abORdER
abouchés abuSe
aboulique abulik
aboutissiez abutisje
aboyaient abwajE
aboyez abwaje
abraser abRaze
abricot abRikO
abrita abRita
abroge abROZ
abrutissante abRytis@t
abrutit abRyti
abscission apsisj1
absenterait aps@tRE
absidiales apsidjal
absorbants apsORb@
absorbeur apsORb9R
abstenait apst*nE
abstinent apstin@
abstinrent apst5R
abstract apstRakt
abstracteur apstRakt9R
abstracteurs apstRakt9R
abstraction apstRaksj1
abstractions apstRaksj1
abstracts apstRakt
abstraire apstRER
abusais abyzE
abusèrent abyzER
abyssaux abisO
académicien akademisj5
accabla akabla
accablai akablE
accaparante akapaR@t
accèdent aksEd
accélérateurs akseleRat9R
accélèrent akselER
accentuais aks@t8E
accentuera aks@tyRa
accepterais aksEptRE
acceptiez aksEptje
accessoire akseswaR
acclamées aklame
acclamèrent aklamER
accolades akOlad
accommodatrices akOmOdatRis
accommodera akOmOdRa
accompagnent ak1paN
accompagnons ak1paN1
accomplirais ak1pliRE
accordant akORd@
accordéoniste akORdeOnist
accorder akORde
accostées akOste
accotait akOtE
accoucheuse akuS2z
accoudoirs akudwaR
accouplement akupl*m@
accourt akuR
accourut akuRy
accoutumé akutyme
accrédita akRedita
accrédités akRedite
accrocheur akROS9R
accrocheuse akROS2z
accroupissant akRupis@
accueillirent ak9jiR
acculait akylE
accumulai akymylE
accusateurs akyzat9R
acéphale asefal
achalandés aSal@de
acharner aSaRne
acheminant aSmin@
achèterait aSEtRE
acheteuses aSt2z
achetiez aS*tje
achevés aSve
achronique akROnik
acidifie asidifi
acier asje
acon ak1
acquérant akeR@
acquérir akeRiR
acquiesça akjEsa
acquiescer akjese
acquitte akit
acron akR1
acteurs akt9R
actinométriques aktinOmetRik
activants aktiv@
activement aktivm@
actualisant akt8aliz@
acumen akymEn
adams ad@
adapte adapt
adaptèrent adaptER
additionné adisjOne
additivité aditivite
adénoïde adenOid
adénomes adenOm
adhérer adeRe
adiposité adipOzite
adja adZa
adjonction adZ1ksj1
adjuraient adZyRE
adjuré adZyRe
administra administRa
administration administRasj1
admirable admiRabl
admires admiR
admirez admiRe
admonestés admOnEste
adonnais adOnE
adonnions adOnj1
adoptive adOptiv
adorables adORabl
adorerai adORRE
adossé adOse
adossés adOse
adp atp
adressé adRese
adressiez adREsje
adulateur adylat9R
adultérine adylteRin
advenu adv*ny
aérèrent aeRER
aériums aeRjOm
aérographe aeROgRaf
aéronef aeROnEf
affadis afadi
affaiblissent afEblis
affairaient afERE
affaisser afese
affalement afalm@
affame afam
affectèrent afEktER
affectif afEktif
affectionne afEksjOn
afférence afeR@s
afférent afeR@
affichage afiSaZ
affichaient afiSE
affile afil
affilés afile
affinerait afinRE
affirmerai afiRm*RE
affirmons afiRm1
affleurez afl9Re
affluant afly@
affolez afOle
affranchi afR@Si
affranchissais afR@SisE
affréter afRete
affrontant afR1t@
affronterions afR1t*Rj1
aficionados afisjOnadO
agacé agase
agacerie agasRi
âgées aZe
agence aZ@s
agenouillai aZnujE
agenouillées aZnuje
âgés aZe
aggloméré aglOmeRe
agglutina aglytina
aggravait agRavE
agilement aZilm@
agios aZjO
agissons aZis1
